label,data
id,"<button type=""button"" data-dismiss=""modal"" aria-label=""Close"" id=""modalClose"" class=""btn btn-danger"">Close</button>"
id,"<button type=""button"" data-toggle=""dropdown"" aria-expanded=""false"" id=""dropdownMenu"" class=""btn btn-secondary"">Menu</button>"
id,"<button type=""button"" data-dismiss=""alert"" aria-label=""Close"" id=""alertClose"" class=""btn btn-warning"">Close</button>"
id,"<button type=""button"" data-toggle=""modal"" data-target=""#contactModal"" id=""contactModalButton"" class=""btn btn-primary"">Contact</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-login"">Login</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-register"">Register</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-save"">Save</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-delete"">Delete</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning"">Warning</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-info"">Info</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-light"">Light</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark"">Dark</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-link"">Link</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-submit"">Submit</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-cancel"">Cancel</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-confirm"">Confirm</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-remove"">Remove</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-alert"">Alert</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-info"">Information</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-clear"">Clear</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark-mode"">Dark Mode</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-next"">Next</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-prev"">Previous</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-edit"">Edit</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-apply"">Apply</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-remove-item"">Remove Item</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning-alert"">Warning Alert</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-more-info"">More Info</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-light-theme"">Light Theme</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark-theme"">Dark Theme</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-home"">Home</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-search"">Search</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-filter"">Filter</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-download"">Download</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-upload"">Upload</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning-action"">Warning Action</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-help"">Help</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-reset"">Reset</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark-mode-toggle"">Toggle Dark Mode</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-settings"">Settings</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-submit-form"">Submit Form</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-close"">Close</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-save-changes"">Save Changes</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-cancel-action"">Cancel Action</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning-notice"">Warning Notice</button>"
id,"<button type=""button"" class=""btn btn-info btn-ripple"" id=""btn-add-info"">Add Info</button>"
id,"<button type=""button"" class=""btn btn-light btn-ripple"" id=""btn-light-theme-toggle"">Toggle Light Theme</button>"
id,"<button type=""button"" class=""btn btn-dark btn-ripple"" id=""btn-dark-theme-toggle"">Toggle Dark Theme</button>"
id,"<button type=""button"" class=""btn btn-link btn-ripple"" id=""btn-contact"">Contact</button>"
id,"<button type=""button"" class=""btn btn-primary btn-ripple"" id=""btn-submit-request"">Submit Request</button>"
id,"<button type=""button"" class=""btn btn-secondary btn-ripple"" id=""btn-return"">Return</button>"
id,"<button type=""button"" class=""btn btn-success btn-ripple"" id=""btn-submit-feedback"">Submit Feedback</button>"
id,"<button type=""button"" class=""btn btn-danger btn-ripple"" id=""btn-discard"">Discard</button>"
id,"<button type=""button"" class=""btn btn-warning btn-ripple"" id=""btn-warning-action"">Warning Action</button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__checkout-button block""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__buy-button block""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__remove-button block""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__add-to-wishlist-button block""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__view-details-button block""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__apply-coupon-button block""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__proceed-to-payment-button block""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__track-order-button block""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__update-quantity-button block""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__view-cart-button block""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__checkout-button block""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__buy-button block""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__remove-button block""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__add-to-wishlist-button block""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
class,"<button type=""button"" class=""rebuy-button rebuy-cart__view-details-button block""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""checkout-button""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
name,"<button type=""button"" name=""buy-now-button""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
name,"<button type=""button"" name=""remove-button""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
name,"<button type=""button"" name=""add-to-wishlist-button""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-details-button""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""apply-coupon-button""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
name,"<button type=""button"" name=""proceed-to-payment-button""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
name,"<button type=""button"" name=""track-order-button""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
name,"<button type=""button"" name=""update-quantity-button""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-cart-button""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
name,"<button type=""button"" name=""checkout-button""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
name,"<button type=""button"" name=""buy-now-button""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
name,"<button type=""button"" name=""remove-button""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
name,"<button type=""button"" name=""add-to-wishlist-button""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-details-button""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""apply-coupon-button""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
name,"<button type=""button"" name=""proceed-to-payment-button""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
name,"<button type=""button"" name=""track-order-button""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
name,"<button type=""button"" name=""update-quantity-button""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-cart-button""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
name,"<button type=""button"" name=""checkout-button""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
name,"<button type=""button"" name=""buy-now-button""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
name,"<button type=""button"" name=""remove-button""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
name,"<button type=""button"" name=""add-to-wishlist-button""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-details-button""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""apply-coupon-button""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
name,"<button type=""button"" name=""proceed-to-payment-button""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
name,"<button type=""button"" name=""track-order-button""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
name,"<button type=""button"" name=""update-quantity-button""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-cart-button""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
name,"<button type=""button"" name=""checkout-button""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
name,"<button type=""button"" name=""buy-now-button""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
name,"<button type=""button"" name=""remove-button""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
name,"<button type=""button"" name=""add-to-wishlist-button""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-details-button""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""apply-coupon-button""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
name,"<button type=""button"" name=""proceed-to-payment-button""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
name,"<button type=""button"" name=""track-order-button""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
name,"<button type=""button"" name=""update-quantity-button""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-cart-button""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
name,"<button type=""button"" name=""checkout-button""><span><i class=""rebuy-button-icon prefix fas fa-lock"" aria-hidden=""true""></i> Checkout <i class=""""></i></span></button>"
name,"<button type=""button"" name=""buy-now-button""><span><i class=""rebuy-button-icon prefix fas fa-shopping-cart"" aria-hidden=""true""></i> Buy Now <i class=""""></i></span></button>"
name,"<button type=""button"" name=""remove-button""><span><i class=""rebuy-button-icon prefix fas fa-trash"" aria-hidden=""true""></i> Remove <i class=""""></i></span></button>"
name,"<button type=""button"" name=""add-to-wishlist-button""><span><i class=""rebuy-button-icon prefix fas fa-heart"" aria-hidden=""true""></i> Add to Wishlist <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-details-button""><span><i class=""rebuy-button-icon prefix fas fa-info-circle"" aria-hidden=""true""></i> View Details <i class=""""></i></span></button>"
name,"<button type=""button"" name=""apply-coupon-button""><span><i class=""rebuy-button-icon prefix fas fa-tags"" aria-hidden=""true""></i> Apply Coupon <i class=""""></i></span></button>"
name,"<button type=""button"" name=""proceed-to-payment-button""><span><i class=""rebuy-button-icon prefix fas fa-credit-card"" aria-hidden=""true""></i> Proceed to Payment <i class=""""></i></span></button>"
name,"<button type=""button"" name=""track-order-button""><span><i class=""rebuy-button-icon prefix fas fa-truck"" aria-hidden=""true""></i> Track Order <i class=""""></i></span></button>"
name,"<button type=""button"" name=""update-quantity-button""><span><i class=""rebuy-button-icon prefix fas fa-sync"" aria-hidden=""true""></i> Update Quantity <i class=""""></i></span></button>"
name,"<button type=""button"" name=""view-cart-button""><span><i class=""rebuy-button-icon prefix fas fa-cart-plus"" aria-hidden=""true""></i> View Cart <i class=""""></i></span></button>"
id,"<button type=""button"" id=""submit-form"" aria-label=""Submit Form"">Submit</button>"
name,"<button type=""button"" name=""add-to-cart"" aria-label=""Add to Cart"">Add to Cart</button>"
id,"<button type=""button"" id=""search-btn"" aria-label=""Search"">Search</button>"
name,"<button type=""button"" name=""view-details"" aria-label=""View Details"">View Details</button>"
id,"<button type=""button"" id=""checkout-btn"" aria-label=""Proceed to Checkout"">Checkout</button>"
name,"<button type=""button"" name=""remove-item"" aria-label=""Remove Item"">Remove</button>"
id,"<button type=""button"" id=""save-changes"" aria-label=""Save Changes"">Save</button>"
name,"<button type=""button"" name=""subscribe"" aria-label=""Subscribe"">Subscribe</button>"
id,"<button type=""button"" id=""track-order"" aria-label=""Track Order"">Track Order</button>"
name,"<button type=""button"" name=""apply-coupon"" aria-label=""Apply Coupon"">Apply Coupon</button>"
id,"<button type=""button"" id=""close-modal"" aria-label=""Close Modal"">Close</button>"
name,"<button type=""button"" name=""update-quantity"" aria-label=""Update Quantity"">Update Quantity</button>"
id,"<button type=""button"" id=""cancel-btn"" aria-label=""Cancel"">Cancel</button>"
name,"<button type=""button"" name=""proceed-payment"" aria-label=""Proceed to Payment"">Proceed to Payment</button>"
id,"<button type=""button"" id=""filter-btn"" aria-label=""Filter Results"">Filter</button>"
name,"<button type=""button"" name=""view-cart"" aria-label=""View Cart"">View Cart</button>"
id,"<button type=""button"" id=""logout-btn"" aria-label=""Logout"">Logout</button>"
name,"<button type=""button"" name=""save-for-later"" aria-label=""Save for Later"">Save for Later</button>"
id,"<button type=""button"" id=""submit-feedback"" aria-label=""Submit Feedback"">Submit Feedback</button>"
name,"<button type=""button"" name=""help"" aria-label=""Help"">Help</button>"
id,"<button type=""button"" id=""play-video"" aria-label=""Play Video"">Play Video</button>"
name,"<button type=""button"" name=""contact-support"" aria-label=""Contact Support"">Contact Support</button>"
id,"<button type=""button"" id=""expand-details"" aria-label=""Expand Details"">Expand</button>"
name,"<button type=""button"" name=""close-panel"" aria-label=""Close Panel"">Close Panel</button>"
id,"<button type=""button"" id=""open-modal"" aria-label=""Open Modal"">Open Modal</button>"
name,"<button type=""button"" name=""edit-profile"" aria-label=""Edit Profile"">Edit Profile</button>"
id,"<button type=""button"" id=""download-file"" aria-label=""Download File"">Download</button>"
name,"<button type=""button"" name=""cancel-order"" aria-label=""Cancel Order"">Cancel Order</button>"
id,"<button type=""button"" id=""show-more"" aria-label=""Show More"">Show More</button>"
name,"<button type=""button"" name=""newsletter-signup"" aria-label=""Sign Up for Newsletter"">Sign Up</button>"
id,"<button type=""button"" id=""refresh-page"" aria-label=""Refresh Page"">Refresh</button>"
name,"<button type=""button"" name=""toggle-menu"" aria-label=""Toggle Menu"">Toggle Menu</button>"
id,"<button type=""button"" id=""go-to-checkout"" aria-label=""Go to Checkout"">Go to Checkout</button>"
name,"<button type=""button"" name=""request-info"" aria-label=""Request Info"">Request Info</button>"
id,"<button type=""button"" id=""change-password"" aria-label=""Change Password"">Change Password</button>"
name,"<button type=""button"" name=""view-profile"" aria-label=""View Profile"">View Profile</button>"
id,"<button type=""button"" id=""clear-search"" aria-label=""Clear Search"">Clear Search</button>"
name,"<button type=""button"" name=""add-review"" aria-label=""Add Review"">Add Review</button>"
id,"<button type=""button"" id=""confirm-action"" aria-label=""Confirm Action"">Confirm</button>"
name,"<button type=""button"" name=""open-settings"" aria-label=""Open Settings"">Open Settings</button>"
id,"<button type=""button"" id=""buy-now"" aria-label=""Buy Now"">Buy Now</button>"
name,"<button type=""button"" name=""start-trial"" aria-label=""Start Trial"">Start Trial</button>"
id,"<button type=""button"" id=""view-orders"" aria-label=""View Orders"">View Orders</button>"
name,"<button type=""button"" name=""set-reminder"" aria-label=""Set Reminder"">Set Reminder</button>"
id,"<button type=""button"" id=""toggle-sidebar"" aria-label=""Toggle Sidebar"">Toggle Sidebar</button>"
name,"<button type=""button"" name=""show-notifications"" aria-label=""Show Notifications"">Show Notifications</button>"
id,"<button type=""button"" id=""update-info"" aria-label=""Update Info"">Update Info</button>"
name,"<button type=""button"" name=""reset-password"" aria-label=""Reset Password"">Reset Password</button>"
id,"<button type=""button"" id=""confirm-delete"" aria-label=""Confirm Delete"">Confirm Delete</button>"
name,"<button type=""button"" name=""view-invoice"" aria-label=""View Invoice"">View Invoice</button>"
id,"<button type=""button"" id=""toggle-footer"" aria-label=""Toggle Footer"">Toggle Footer</button>"
name,"<button type=""button"" name=""remove-favorite"" aria-label=""Remove Favorite"">Remove Favorite</button>"
id,"<button type=""button"" id=""share"" aria-label=""Share"">Share</button>"
name,"<button type=""button"" name=""view-details"" aria-label=""View Details"">View Details</button>"
id,"<button type=""button"" id=""show-sidebar"" aria-label=""Show Sidebar"">Show Sidebar</button>"
name,"<button type=""button"" name=""open-chat"" aria-label=""Open Chat"">Open Chat</button>"
id,"<button type=""button"" id=""print"" aria-label=""Print"">Print</button>"
name,"<button type=""button"" name=""apply-filters"" aria-label=""Apply Filters"">Apply Filters</button>"
id,"<button type=""button"" id=""submit-feedback"" aria-label=""Submit Feedback"">Submit Feedback</button>"
name,"<button type=""button"" name=""add-to-list"" aria-label=""Add to List"">Add to List</button>"
id,"<button type=""button"" id=""play"" aria-label=""Play"">Play</button>"
name,"<button type=""button"" name=""buy-gift-card"" aria-label=""Buy Gift Card"">Buy Gift Card</button>"
id,"<button type=""button"" id=""close-popup"" aria-label=""Close Popup"">Close Popup</button>"
name,"<button type=""button"" name=""view-history"" aria-label=""View History"">View History</button>"
id,"<button type=""button"" id=""open-gallery"" aria-label=""Open Gallery"">Open Gallery</button>"
name,"<button type=""button"" name=""download-report"" aria-label=""Download Report"">Download Report</button>"
id,"<button type=""button"" id=""confirm-booking"" aria-label=""Confirm Booking"">Confirm Booking</button>"
name,"<button type=""button"" name=""reset-filters"" aria-label=""Reset Filters"">Reset Filters</button>"
id,"<button type=""button"" id=""show-modal"" aria-label=""Show Modal"">Show Modal</button>"
name,"<button type=""button"" name=""send-message"" aria-label=""Send Message"">Send Message</button>"
id,"<button type=""button"" id=""edit"" aria-label=""Edit"">Edit</button>"
name,"<button type=""button"" name=""save-draft"" aria-label=""Save Draft"">Save Draft</button>"
id,"<button type=""button"" id=""close-dialog"" aria-label=""Close Dialog"">Close Dialog</button>"
name,"<button type=""button"" name=""confirm-action"" aria-label=""Confirm Action"">Confirm Action</button>"
id,"<button type=""button"" id=""toggle-theme"" aria-label=""Toggle Theme"">Toggle Theme</button>"
name,"<button type=""button"" name=""submit-order"" aria-label=""Submit Order"">Submit Order</button>"
id,"<button type=""button"" id=""add-comment"" aria-label=""Add Comment"">Add Comment</button>"
name,"<button type=""button"" name=""toggle-view"" aria-label=""Toggle View"">Toggle View</button>"
id,"<button type=""button"" id=""retry"" aria-label=""Retry"">Retry</button>"
name,"<button type=""button"" name=""load-more"" aria-label=""Load More"">Load More</button>"
id,"<button type=""button"" id=""open-settings"" aria-label=""Open Settings"">Open Settings</button>"
name,"<button type=""button"" name=""confirm-subscription"" aria-label=""Confirm Subscription"">Confirm Subscription</button>"
id,"<button type=""button"" id=""send-invite"" aria-label=""Send Invite"">Send Invite</button>"
name,"<button type=""button"" name=""update-profile"" aria-label=""Update Profile"">Update Profile</button>"
id,"<button type=""button"" id=""cancel-subscription"" aria-label=""Cancel Subscription"">Cancel Subscription</button>"
name,"<button type=""button"" name=""start-quiz"" aria-label=""Start Quiz"">Start Quiz</button>"
id,"<button type=""button"" id=""add-new"" aria-label=""Add New"">Add New</button>"
name,"<button type=""button"" name=""view-report"" aria-label=""View Report"">View Report</button>"
id,"<button type=""button"" id=""upload"" aria-label=""Upload"">Upload</button>"
